Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
19408469,4.53,4.747,4.454,4.6005,0.0705,4.80,0.273921971,0.217,0.076
206440,3.21,3.217,3.963,3.59,0.38,4.80,1.593921971,0.007,0.753
2104645,7.51,6.554,6.537,6.5455,0.9645,4.80,2.706078029,0.956,0.973
210631688,5.96,5.322,5.12,5.221,0.739,4.80,1.156078029,0.638,0.84
210880925,4.4,4.752,4.962,4.857,0.457,4.80,0.403921971,0.352,0.562
2163680,5.29,4.651,4.492,4.5715,0.7185,4.80,0.486078029,0.639,0.798
2164172,4.27,4.7,4.981,4.8405,0.5705,4.80,0.533921971,0.43,0.711
22224926,7.08,6.761,6.885,6.823,0.257,4.80,2.276078029,0.319,0.195
2303175,5.38,5.039,5.319,5.179,0.201,4.80,0.576078029,0.341,0.061
2312358,5.24,4.365,4.767,4.566,0.674,4.80,0.436078029,0.875,0.473
23564058,4.63,4.375,4.897,4.636,0.006,4.80,0.173921971,0.255,0.267
25155300,3.84,3.723,4,3.8615,0.0215,4.80,0.963921971,0.117,0.16
25311711,6.63,6.719,6.783,6.751,0.121,4.80,1.826078029,0.089,0.153
26225796,3.35,4.771,4.702,4.7365,1.3865,4.80,1.453921971,1.421,1.352
32289580,4.21,4.744,4.152,4.448,0.238,4.80,0.593921971,0.534,0.058
330541,5.57,4.703,4.656,4.6795,0.8905,4.80,0.766078029,0.867,0.914
33820530,4.31,5.184,4.758,4.971,0.661,4.80,0.493921971,0.874,0.448
35367385,5.19,4.517,4.718,4.6175,0.5725,4.80,0.386078029,0.673,0.472
50471448,5.06,4.976,4.831,4.9035,0.1565,4.80,0.256078029,0.084,0.229
51218452,4.28,4.874,4.825,4.8495,0.5695,4.80,0.523921971,0.594,0.545
54593838,6.75,6.794,6.678,6.736,0.014,4.80,1.946078029,0.044,0.072
55290647,5.02,4.126,4.862,4.494,0.526,4.80,0.216078029,0.894,0.158
55335063,4.71,4.621,4.979,4.8,0.09,4.80,0.093921971,0.089,0.269
556887,2.52,4.282,4.125,4.2035,1.6835,4.80,2.283921971,1.762,1.605
57960197,5.15,4.244,4.264,4.254,0.896,4.80,0.346078029,0.906,0.886
616239,4.11,3.687,3.966,3.8265,0.2835,4.80,0.693921971,0.423,0.144
65195553,6.86,4.578,5.656,5.117,1.743,4.80,2.056078029,2.282,1.204
65850,4.44,3.348,3.24,3.294,1.146,4.80,0.363921971,1.092,1.2
66215278,5.35,4.439,4.472,4.4555,0.8945,4.80,0.546078029,0.911,0.878
66441234,6.16,5.586,5.373,5.4795,0.6805,4.80,1.356078029,0.574,0.787
67209,2.9,4.89,4.538,4.714,1.814,4.80,1.903921971,1.99,1.638
67641,1.81,3.353,,3.353,1.543,4.80,2.993921971,1.543,1.81
68584225,3.81,3.945,4.082,4.0135,0.2035,4.80,0.993921971,0.135,0.272
69409945,5.7,5.132,5.234,5.183,0.517,4.80,0.896078029,0.568,0.466
69806402,7.88,5.725,5.452,5.5885,2.2915,4.80,3.076078029,2.155,2.428
71363,2.77,3.113,2.987,3.05,0.28,4.80,2.033921971,0.343,0.217
7287196,4.81,5.183,5.164,5.1735,0.3635,4.80,0.006078029,0.373,0.354
741582,5.9,6.831,6.739,6.785,0.885,4.80,1.096078029,0.931,0.839
75343,2.14,4.233,,4.233,2.093,4.80,2.663921971,2.093,2.14
76448,6.39,6.428,6.478,6.453,0.063,4.80,1.586078029,0.038,0.088
76738620,4.67,4.906,5.044,4.975,0.305,4.80,0.133921971,0.236,0.374
78591,2.96,4.264,3.935,4.0995,1.1395,4.80,1.843921971,1.304,0.975
78831,2.37,3.101,3.298,3.1995,0.8295,4.80,2.433921971,0.731,0.928
79572,7,4.772,5.432,5.102,1.898,4.80,2.196078029,2.228,1.568
8003347,4.93,4.52,4.902,4.711,0.219,4.80,0.126078029,0.41,0.028
81335775,4.06,3.962,4.459,4.2105,0.1505,4.80,0.743921971,0.098,0.399
82097505,5.52,4.589,4.576,4.5825,0.9375,4.80,0.716078029,0.931,0.944
82558507,4.82,4.667,4.962,4.8145,0.0055,4.80,0.016078029,0.153,0.142
83055996,5.31,4.384,4.148,4.266,1.044,4.80,0.506078029,0.926,1.162
87546187,3.63,4.673,4.676,4.6745,1.0445,4.80,1.173921971,1.043,1.046
87820880,5.82,4.843,4.949,4.896,0.924,4.80,1.016078029,0.977,0.871
87821,5.44,4.228,6.052,5.14,0.3,4.80,0.636078029,1.212,0.612
92524,3.49,3.372,2.943,3.1575,0.3325,4.80,1.313921971,0.118,0.547
944229,6.09,6.59,6.879,6.7345,0.6445,4.80,1.286078029,0.5,0.789
95737681,3.96,5.507,5.012,5.2595,1.2995,4.80,0.843921971,1.547,1.052
95954,3.29,4.984,4.789,4.8865,1.5965,4.80,1.513921971,1.694,1.499
103231,3.34,4.633,4.107,4.37,1.03,4.80,1.463921971,1.293,0.767
104040780,5.5,4.268,4.627,4.4475,1.0525,4.80,0.696078029,1.232,0.873
105679,3.39,4.604,4.354,4.479,1.089,4.80,1.413921971,1.214,0.964
107028,6.05,4.053,3.93,3.9915,2.0585,4.80,1.246078029,1.997,2.12
108623,4.25,4.063,4.589,4.326,0.076,4.80,0.553921971,0.187,0.339
108805,2.92,4.168,4.225,4.1965,1.2765,4.80,1.883921971,1.248,1.305
108907,3.77,4.426,3.932,4.179,0.409,4.80,1.033921971,0.656,0.162
109784,3.37,4.027,3.716,3.8715,0.5015,4.80,1.433921971,0.657,0.346
1114712,5.44,4.81,4.724,4.767,0.673,4.80,0.636078029,0.63,0.716
112143825,7.28,5.071,5.09,5.0805,2.1995,4.80,2.476078029,2.209,2.19
115297,5.83,6.094,6.471,6.2825,0.4525,4.80,1.026078029,0.264,0.641
119446683,5.61,5.38,5.365,5.3725,0.2375,4.80,0.806078029,0.23,0.245
121755,6.16,5.998,6.324,6.161,0.001,4.80,1.356078029,0.162,0.164
122429,3.55,4.212,4.385,4.2985,0.7485,4.80,1.253921971,0.662,0.835
122836355,4.44,4.975,5.118,5.0465,0.6065,4.80,0.363921971,0.535,0.678
123312890,5.76,4.686,4.503,4.5945,1.1655,4.80,0.956078029,1.074,1.257
124481,3.98,4.228,,4.228,0.248,4.80,0.823921971,0.248,3.98
12674112,7.56,4.517,4.736,4.6265,2.9335,4.80,2.756078029,3.043,2.824
126987,5.29,4.221,3.751,3.986,1.304,4.80,0.486078029,1.069,1.539
12789036,6.43,6.265,6.758,6.5115,0.0815,4.80,1.626078029,0.165,0.328
131341861,4.88,4.971,4.851,4.911,0.031,4.80,0.076078029,0.091,0.029
1330207,2.77,4.084,3.399,3.7415,0.9715,4.80,2.033921971,1.314,0.629
135158542,4.29,4.878,4.656,4.767,0.477,4.80,0.513921971,0.588,0.366
135410207,4.5,5.012,4.705,4.8585,0.3585,4.80,0.303921971,0.512,0.205
137268,4.68,4.625,5.376,5.0005,0.3205,4.80,0.123921971,0.055,0.696
140923177,5.09,4.679,4.567,4.623,0.467,4.80,0.286078029,0.411,0.523
141517217,5.03,4.753,5.255,5.004,0.026,4.80,0.226078029,0.277,0.225
144218,4.76,3.813,,3.813,0.947,4.80,0.043921971,0.947,4.76
156052685,3.84,4.729,4.877,4.803,0.963,4.80,0.963921971,0.889,1.037
1582098,5.65,4.67,4.587,4.6285,1.0215,4.80,0.846078029,0.98,1.063
1689845,4.74,4.633,4.598,4.6155,0.1245,4.80,0.063921971,0.107,0.142
181274179,4.07,4.733,4.92,4.8265,0.7565,4.80,0.733921971,0.663,0.85
1918009,4.87,4.883,4.513,4.698,0.172,4.80,0.066078029,0.013,0.357
1918021,4.53,4,4.638,4.319,0.211,4.80,0.273921971,0.53,0.108
1929777,5.31,4.949,4.739,4.844,0.466,4.80,0.506078029,0.361,0.571
2008415,4.64,5.007,5.267,5.137,0.497,4.80,0.163921971,0.367,0.627
2212671,5.97,4.736,4.755,4.7455,1.2245,4.80,1.166078029,1.234,1.215
22781233,6.25,5.141,5.014,5.0775,1.1725,4.80,1.446078029,1.109,1.236
2675776,4.22,4.862,4.517,4.6895,0.4695,4.80,0.583921971,0.642,0.297
27176870,3.81,3.999,3.983,3.991,0.181,4.80,0.993921971,0.189,0.173
28249776,5.41,4.952,4.752,4.852,0.558,4.80,0.606078029,0.458,0.658
29232937,6.09,6.344,6.765,6.5545,0.4645,4.80,1.286078029,0.254,0.675
298000,7.02,5.744,6.198,5.971,1.049,4.80,2.216078029,1.276,0.822
299843,4.81,5.308,5.859,5.5835,0.7735,4.80,0.006078029,0.498,1.049
319846,5.94,5.092,5.984,5.538,0.402,4.80,1.136078029,0.848,0.044
36734197,4.89,4.917,4.97,4.9435,0.0535,4.80,0.086078029,0.027,0.08
37339610,3.95,4.339,4.73,4.5345,0.5845,4.80,0.853921971,0.389,0.78
39515418,5.15,5.617,5.197,5.407,0.257,4.80,0.346078029,0.467,0.047
40487421,4.35,4.65,4.731,4.6905,0.3405,4.80,0.453921971,0.3,0.381
422556089,3.64,4.689,4.75,4.7195,1.0795,4.80,1.163921971,1.049,1.11
43121433,5.07,4.885,4.891,4.888,0.182,4.80,0.266078029,0.185,0.179
50000,3.3,4.08,4.385,4.2325,0.9325,4.80,1.503921971,0.78,1.085
51235042,4.4,4.783,4.801,4.792,0.392,4.80,0.403921971,0.383,0.401
51630581,5.22,5.441,5.115,5.278,0.058,4.80,0.416078029,0.221,0.105
55283686,4.92,4.868,4.801,4.8345,0.0855,4.80,0.116078029,0.052,0.119
55285148,5.58,4.866,5.065,4.9655,0.6145,4.80,0.776078029,0.714,0.515
563122,6.89,6.304,6.028,6.166,0.724,4.80,2.086078029,0.586,0.862
56724,7.16,6.761,6.078,6.4195,0.7405,4.80,2.356078029,0.399,1.082
57837191,4.65,4.794,4.384,4.589,0.061,4.80,0.153921971,0.144,0.266
5902512,5.24,4.862,4.985,4.9235,0.3165,4.80,0.436078029,0.378,0.255
59756604,4.61,4.92,5.005,4.9625,0.3525,4.80,0.193921971,0.31,0.395
598776,3.99,4.05,4.266,4.158,0.168,4.80,0.813921971,0.06,0.276
60297,2.17,3.082,2.983,3.0325,0.8625,4.80,2.633921971,0.912,0.813
615543,4.79,4.618,5.016,4.817,0.027,4.80,0.013921971,0.172,0.226
617845,4.96,3.849,3.718,3.7835,1.1765,4.80,0.156078029,1.111,1.242
62737,6.64,5.564,5.36,5.462,1.178,4.80,1.836078029,1.076,1.28
63252,4.32,4.117,4.161,4.139,0.181,4.80,0.483921971,0.203,0.159
64359815,4.15,4.442,4.832,4.637,0.487,4.80,0.653921971,0.292,0.682
