Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
600158,6.91,6.847,7.308,7.0775,0.1675,7.29,0.38,0.063,0.398
127184,7.44,7.067,7.223,7.145,0.295,7.29,0.15,0.373,0.217
13684634,6.08,7.323,7.092,7.2075,1.1275,7.29,1.21,1.243,1.012
60168889,7.74,6.895,7.351,7.123,0.617,7.29,0.45,0.845,0.389
129630199,6.32,7.215,7.498,7.3565,1.0365,7.29,0.97,0.895,1.178
10453868,7.05,7.009,7.431,7.22,0.17,7.29,0.24,0.041,0.381
1689992,7.3,7.413,7.171,7.292,0.008,7.29,0.01,0.113,0.129
101213,6.03,7.079,7.24,7.1595,1.1295,7.29,1.26,1.049,1.21
21564170,7.38,7.131,7.237,7.184,0.196,7.29,0.09,0.249,0.143
65195553,9.34,6.771,7.633,7.202,2.138,7.29,2.05,2.569,1.707
131860338,6.35,7.297,7.122,7.2095,0.8595,7.29,0.94,0.947,0.772
506774,6.09,7.108,7.137,7.1225,1.0325,7.29,1.2,1.018,1.047
66215278,7.35,7.189,6.968,7.0785,0.2715,7.29,0.06,0.161,0.382
175013180,7.06,6.962,7.316,7.139,0.079,7.29,0.23,0.098,0.256
94746,8.6,7.155,7.141,7.148,1.452,7.29,1.31,1.445,1.459
36734197,6.92,7.244,6.932,7.088,0.168,7.29,0.37,0.324,0.012
85007,8.19,6.854,7.004,6.929,1.261,7.29,0.9,1.336,1.186
158062670,6.76,7.038,7.153,7.0955,0.3355,7.29,0.53,0.278,0.393
1861401,6.05,7.275,7.32,7.2975,1.2475,7.29,1.24,1.225,1.27
1582098,7.65,7.289,7.288,7.2885,0.3615,7.29,0.36,0.361,0.362
94815,7.36,7.264,7.097,7.1805,0.1795,7.29,0.07,0.096,0.263
106467,6.32,7.398,7.222,7.31,0.99,7.29,0.97,1.078,0.902
135410207,6.5,7.271,7.285,7.278,0.778,7.29,0.79,0.771,0.785
135158542,6.28,7.18,7.194,7.187,0.907,7.29,1.01,0.9,0.914
57147,8.78,7.432,,7.432,1.348,7.29,1.49,1.348,8.78
59756604,6.61,7.246,7.012,7.129,0.519,7.29,0.68,0.636,0.402
55285148,7.58,7.353,7.282,7.3175,0.2625,7.29,0.29,0.227,0.298
75252,7.1,7.284,,7.284,0.184,7.29,0.19,0.184,7.1
16752775,6.81,7.477,7.291,7.384,0.574,7.29,0.48,0.667,0.481
79983714,7.19,7.266,7.269,7.2675,0.0775,7.29,0.1,0.076,0.079
56425913,7.19,6.82,7.358,7.089,0.101,7.29,0.1,0.37,0.168
39515418,7.15,7.517,7.423,7.47,0.32,7.29,0.14,0.367,0.273
173584446,7.42,7.216,7.543,7.3795,0.0405,7.29,0.13,0.204,0.123
78875,6.09,6.933,7.276,7.1045,1.0145,7.29,1.2,0.843,1.186
7287196,7.78,7.238,7.2,7.219,0.561,7.29,0.49,0.542,0.58
95692,7.67,7.273,7.22,7.2465,0.4235,7.29,0.38,0.397,0.45
106478,7.5,7.225,7.283,7.254,0.246,7.29,0.21,0.275,0.217
1071836,6.23,7.369,7.434,7.4015,1.1715,7.29,1.06,1.139,1.204
21087649,6.93,7.199,7.416,7.3075,0.3775,7.29,0.36,0.269,0.486
103361097,7.25,6.803,7.037,6.92,0.33,7.29,0.04,0.447,0.213
91587,6.31,7.109,7.244,7.1765,0.8665,7.29,0.98,0.799,0.934
51218452,6.28,7.234,7.107,7.1705,0.8905,7.29,1.01,0.954,0.827
95705,9.09,7.167,7.007,7.087,2.003,7.29,1.8,1.923,2.083
67564914,6.98,7.225,7.483,7.354,0.374,7.29,0.31,0.245,0.503
37339610,6.44,7.178,7.217,7.1975,0.7575,7.29,0.85,0.738,0.777
79005,7.52,7.134,7.429,7.2815,0.2385,7.29,0.23,0.386,0.091
210880925,7.4,7.349,7.3,7.3245,0.0755,7.29,0.11,0.051,0.1
